,state,x,y
0,Algeria,-83.0,141.0
1,Egypt,71.0,141.0
2,Libya,5.0,142.0
3,South Africa,40.0,-181.0
4,Madagascar,166.0,-123.0
5,Botswana,33.0,-133.0
6,Namibia,-19.0,-123.0
7,Angola,4.0,-71.0
